time,low,high,open,close,volume
2023-01-27 19:44:00,0.0536,0.0536,0.0536,0.0536,5798.5
2023-01-27 19:47:00,0.0538,0.0538,0.0538,0.0538,663.8
2023-01-27 19:50:00,0.0536,0.0538,0.0538,0.0536,572.5
2023-01-27 20:01:00,0.0537,0.0538,0.0537,0.0537,1348.9
2023-01-27 20:20:00,0.0538,0.0539,0.0538,0.0539,70813.1
2023-01-27 20:34:00,0.0539,0.0539,0.0539,0.0539,192.6
2023-01-27 20:45:00,0.0539,0.0539,0.0539,0.0539,661.6
2023-01-27 20:59:00,0.0537,0.0537,0.0537,0.0537,5325.6
2023-01-27 21:11:00,0.0535,0.0537,0.0535,0.0537,15397.0
2023-01-27 21:26:00,0.0534,0.0537,0.0535,0.0537,35779.5
2023-01-27 21:28:00,0.0537,0.0537,0.0537,0.0537,42.4
2023-01-27 22:20:00,0.0535,0.0535,0.0535,0.0535,75.1
2023-01-27 22:32:00,0.0535,0.0537,0.0537,0.0535,7006.4
2023-01-27 22:34:00,0.0535,0.0538,0.0535,0.0538,2501.6
2023-01-27 23:07:00,0.0536,0.0536,0.0536,0.0536,795.2
2023-01-27 23:18:00,0.0536,0.0538,0.0536,0.0538,100.0
2023-01-27 23:42:00,0.0538,0.0538,0.0538,0.0538,256.9
2023-01-27 23:43:00,0.0538,0.0538,0.0538,0.0538,420.1
2023-01-27 23:46:00,0.0536,0.0536,0.0536,0.0536,137.9
2023-01-28 00:02:00,0.0536,0.0538,0.0536,0.0538,6951.0
2023-01-28 00:16:00,0.0539,0.0543,0.0539,0.0541,163034.2
2023-01-28 00:30:00,0.0542,0.0542,0.0542,0.0542,1.9
2023-01-28 00:44:00,0.054,0.0541,0.0541,0.0541,4421.8
2023-01-28 00:56:00,0.054,0.0541,0.054,0.0541,1587.0
2023-01-28 01:05:00,0.054,0.054,0.054,0.054,5150.8
2023-01-28 01:14:00,0.0539,0.054,0.054,0.0539,511.2
2023-01-28 01:24:00,0.054,0.0541,0.054,0.054,217652.4
2023-01-28 01:25:00,0.054,0.054,0.054,0.054,82703.0
2023-01-28 01:35:00,0.0539,0.054,0.054,0.0539,33370.8
2023-01-28 01:49:00,0.0539,0.0539,0.0539,0.0539,1317.5
2023-01-28 02:03:00,0.0538,0.054,0.0538,0.054,15955.0
2023-01-28 02:19:00,0.054,0.054,0.054,0.054,250.0
2023-01-28 02:20:00,0.0541,0.0543,0.0543,0.0541,7130.7
2023-01-28 02:39:00,0.054,0.0541,0.0541,0.054,23.0
2023-01-28 02:47:00,0.054,0.054,0.054,0.054,230.0
2023-01-28 02:58:00,0.0539,0.0539,0.0539,0.0539,18.7
2023-01-28 03:05:00,0.054,0.054,0.054,0.054,36204.3
2023-01-28 03:34:00,0.054,0.054,0.054,0.054,2998.3
2023-01-28 03:36:00,0.0539,0.0542,0.0539,0.0542,32429.7
2023-01-28 03:44:00,0.0541,0.0541,0.0541,0.0541,6644.2
2023-01-28 03:56:00,0.054,0.054,0.054,0.054,229.6
